2025-05-22T22:26:02.233102 - {'timestamp': '2025-05-21 22:30:00', 'username': 'joao', 'ip_address': '192.168.0.10', 'port': '22', 'status': 'failed'}
2025-05-22T22:26:02.234348 - {'timestamp': '2025-05-21 03:00:00', 'username': 'ana', 'ip_address': '192.168.0.14', 'port': '3389', 'status': 'success'}
2025-05-22T22:26:02.235354 - {'timestamp': '2025-05-21 18:10:00', 'username': 'fernando', 'ip_address': '192.168.0.17', 'port': '53', 'status': 'success'}
2025-05-22T22:26:02.235354 - {'timestamp': '2025-05-21 01:30:00', 'username': 'patricia', 'ip_address': '192.168.0.18', 'port': '22', 'status': 'success'}
2025-05-22T22:26:02.236355 - {'timestamp': '2025-05-21 20:05:00', 'username': 'roberto', 'ip_address': '192.168.0.19', 'port': '443', 'status': 'failed'}
2025-05-22T22:26:02.236355 - {'timestamp': '2025-05-21 05:40:00', 'username': 'amanda', 'ip_address': '192.168.0.20', 'port': '3389', 'status': 'failed'}
2025-05-22T22:26:02.237622 - {'timestamp': '2025-05-21 19:50:00', 'username': 'marcelo', 'ip_address': '192.168.0.23', 'port': '8080', 'status': 'success'}
2025-05-22T22:26:02.237622 - {'timestamp': '2025-05-21 02:15:00', 'username': 'bruna', 'ip_address': '192.168.0.24', 'port': '53', 'status': 'failed'}
2025-05-22T22:26:02.238629 - {'timestamp': '2025-05-21 07:45:00', 'username': 'isabela', 'ip_address': '192.168.0.26', 'port': '443', 'status': 'success'}
2025-05-22T22:26:02.239627 - {'timestamp': '2025-05-21 00:55:00', 'username': 'beatriz', 'ip_address': '192.168.0.28', 'port': '80', 'status': 'failed'}
2025-05-22T22:26:02.239627 - {'timestamp': '2025-05-21 23:40:00', 'username': 'vinicius', 'ip_address': '192.168.0.29', 'port': '21', 'status': 'success'}
2025-05-22T22:26:02.239627 - {'timestamp': '2025-05-21 06:30:00', 'username': 'laura', 'ip_address': '192.168.0.30', 'port': '8080', 'status': 'failed'}
2025-05-22T22:26:02.240627 - {'timestamp': '2025-05-21 19:30:00', 'username': 'mateus', 'ip_address': '192.168.0.33', 'port': '443', 'status': 'success'}
2025-05-22T22:26:02.240627 - {'timestamp': '2025-05-21 04:45:00', 'username': 'helena', 'ip_address': '192.168.0.34', 'port': '3389', 'status': 'failed'}
2025-05-22T22:26:02.241627 - {'timestamp': '2025-05-21 21:55:00', 'username': 'alice', 'ip_address': '192.168.0.36', 'port': '21', 'status': 'failed'}
2025-05-22T22:26:02.241627 - {'timestamp': '2025-05-21 07:00:00', 'username': 'miguel', 'ip_address': '192.168.0.37', 'port': '8080', 'status': 'success'}
2025-05-22T22:26:02.242632 - {'timestamp': '2025-05-21 00:30:00', 'username': 'arthur', 'ip_address': '192.168.0.39', 'port': '22', 'status': 'success'}
2025-05-22T22:26:02.243627 - {'timestamp': '2025-05-21 01:10:00', 'username': 'benjamin', 'ip_address': '192.168.0.43', 'port': '21', 'status': 'success'}
2025-05-22T22:26:02.243627 - {'timestamp': '2025-05-21 20:35:00', 'username': 'emanuel', 'ip_address': '192.168.0.44', 'port': '8080', 'status': 'failed'}
